ano	uf	codigo	estado	urbana_mulher	rural_mulher	urbana_homem	rural_homem
2010	PI	22	Piauí	1076834	509121	972473	551864
2010	PR	41	Paraná	4586707	726825	4325985	805009
2010	RJ	33	Rio de Janeiro	8109914	254336	7354325	271354
2010	RN	24	Rio Grande do Norte	1281664	337476	1183327	365560
2010	RO	11	Rondônia	579756	187496	569424	225733
2010	RR	14	Roraima	173909	47711	170950	57909
2010	RS	43	Rio Grande do Sul	4729507	759365	4370784	834273
2010	SC	42	Santa Catarina	2669392	478684	2578521	521839
2010	SE	28	Sergipe	796450	266526	723916	281125
2010	SP	35	São Paulo	20418632	765694	19166619	911254
2010	TO	17	Tocantins	549642	131379	540464	161960
